Serial Number,Area Name,Number Of Duties,Days,Time
16369,Nelamangala,73,Thursday,00:00 to 01:00
16370,Nelamangala,58,Thursday,01:00 to 02:00
16371,Nelamangala,52,Thursday,02:00 to 03:00
16372,Nelamangala,85,Thursday,03:00 to 04:00
16373,Nelamangala,73,Thursday,04:00 to 05:00
16374,Nelamangala,96,Thursday,05:00 to 06:00
16375,Nelamangala,105,Thursday,06:00 to 07:00
16376,Nelamangala,108,Thursday,07:00 to 08:00
16377,Nelamangala,150,Thursday,08:00 to 09:00
16378,Nelamangala,104,Thursday,09:00 to 10:00
16379,Nelamangala,135,Thursday,10:00 to 11:00
16380,Nelamangala,118,Thursday,11:00 to 12:00
16381,Nelamangala,129,Thursday,12:00 to 13:00
16382,Nelamangala,92,Thursday,13:00 to 14:00
16383,Nelamangala,94,Thursday,14:00 to 15:00
16384,Nelamangala,83,Thursday,15:00 to 16:00
16385,Nelamangala,70,Thursday,16:00 to 17:00
16386,Nelamangala,122,Thursday,17:00 to 18:00
16387,Nelamangala,140,Thursday,18:00 to 19:00
16388,Nelamangala,134,Thursday,19:00 to 20:00
16389,Nelamangala,73,Thursday,20:00 to 21:00
16390,Nelamangala,106,Thursday,21:00 to 22:00
16391,Nelamangala,129,Thursday,22:00 to 23:00
16392,Nelamangala,78,Thursday,23:00 to 00:00
16393,Nelamangala,61,Friday,00:00 to 01:00
16394,Nelamangala,85,Friday,01:00 to 02:00
16395,Nelamangala,58,Friday,02:00 to 03:00
16396,Nelamangala,67,Friday,03:00 to 04:00
16397,Nelamangala,76,Friday,04:00 to 05:00
16398,Nelamangala,100,Friday,05:00 to 06:00
16399,Nelamangala,115,Friday,06:00 to 07:00
16400,Nelamangala,127,Friday,07:00 to 08:00
16401,Nelamangala,107,Friday,08:00 to 09:00
16402,Nelamangala,140,Friday,09:00 to 10:00
16403,Nelamangala,143,Friday,10:00 to 11:00
16404,Nelamangala,85,Friday,11:00 to 12:00
16405,Nelamangala,126,Friday,12:00 to 13:00
16406,Nelamangala,85,Friday,13:00 to 14:00
16407,Nelamangala,113,Friday,14:00 to 15:00
16408,Nelamangala,100,Friday,15:00 to 16:00
16409,Nelamangala,100,Friday,16:00 to 17:00
16410,Nelamangala,118,Friday,17:00 to 18:00
16411,Nelamangala,139,Friday,18:00 to 19:00
16412,Nelamangala,122,Friday,19:00 to 20:00
16413,Nelamangala,116,Friday,20:00 to 21:00
16414,Nelamangala,88,Friday,21:00 to 22:00
16415,Nelamangala,128,Friday,22:00 to 23:00
16416,Nelamangala,101,Friday,23:00 to 00:00
16417,Nelamangala,129,Saturday,00:00 to 01:00
16418,Nelamangala,139,Saturday,01:00 to 02:00
16419,Nelamangala,91,Saturday,02:00 to 03:00
16420,Nelamangala,76,Saturday,03:00 to 04:00
16421,Nelamangala,92,Saturday,04:00 to 05:00
16422,Nelamangala,74,Saturday,05:00 to 06:00
16423,Nelamangala,110,Saturday,06:00 to 07:00
16424,Nelamangala,89,Saturday,07:00 to 08:00
16425,Nelamangala,96,Saturday,08:00 to 09:00
16426,Nelamangala,110,Saturday,09:00 to 10:00
16427,Nelamangala,118,Saturday,10:00 to 11:00
16428,Nelamangala,95,Saturday,11:00 to 12:00
16429,Nelamangala,110,Saturday,12:00 to 13:00
16430,Nelamangala,100,Saturday,13:00 to 14:00
16431,Nelamangala,121,Saturday,14:00 to 15:00
16432,Nelamangala,88,Saturday,15:00 to 16:00
16433,Nelamangala,107,Saturday,16:00 to 17:00
16434,Nelamangala,129,Saturday,17:00 to 18:00
16435,Nelamangala,123,Saturday,18:00 to 19:00
16436,Nelamangala,77,Saturday,19:00 to 20:00
16437,Nelamangala,82,Saturday,20:00 to 21:00
16438,Nelamangala,74,Saturday,21:00 to 22:00
16439,Nelamangala,135,Saturday,22:00 to 23:00
16440,Nelamangala,123,Saturday,23:00 to 00:00
16441,Nelamangala,104,Sunday,00:00 to 01:00
16442,Nelamangala,119,Sunday,01:00 to 02:00
16443,Nelamangala,95,Sunday,02:00 to 03:00
16444,Nelamangala,88,Sunday,03:00 to 04:00
16445,Nelamangala,67,Sunday,04:00 to 05:00
16446,Nelamangala,102,Sunday,05:00 to 06:00
16447,Nelamangala,65,Sunday,06:00 to 07:00
16448,Nelamangala,110,Sunday,07:00 to 08:00
16449,Nelamangala,80,Sunday,08:00 to 09:00
16450,Nelamangala,70,Sunday,09:00 to 10:00
16451,Nelamangala,96,Sunday,10:00 to 11:00
16452,Nelamangala,101,Sunday,11:00 to 12:00
16453,Nelamangala,80,Sunday,12:00 to 13:00
16454,Nelamangala,125,Sunday,13:00 to 14:00
16455,Nelamangala,86,Sunday,14:00 to 15:00
16456,Nelamangala,113,Sunday,15:00 to 16:00
16457,Nelamangala,128,Sunday,16:00 to 17:00
16458,Nelamangala,114,Sunday,17:00 to 18:00
16459,Nelamangala,85,Sunday,18:00 to 19:00
16460,Nelamangala,81,Sunday,19:00 to 20:00
16461,Nelamangala,75,Sunday,20:00 to 21:00
16462,Nelamangala,87,Sunday,21:00 to 22:00
16463,Nelamangala,108,Sunday,22:00 to 23:00
16464,Nelamangala,132,Sunday,23:00 to 00:00
16465,Old Airport Road,72,Monday,00:00 to 01:00
16466,Old Airport Road,61,Monday,01:00 to 02:00
16467,Old Airport Road,84,Monday,02:00 to 03:00
16468,Old Airport Road,63,Monday,03:00 to 04:00
16469,Old Airport Road,65,Monday,04:00 to 05:00
16470,Old Airport Road,75,Monday,05:00 to 06:00
16471,Old Airport Road,115,Monday,06:00 to 07:00
16472,Old Airport Road,91,Monday,07:00 to 08:00
16473,Old Airport Road,110,Monday,08:00 to 09:00
16474,Old Airport Road,135,Monday,09:00 to 10:00
16475,Old Airport Road,146,Monday,10:00 to 11:00
16476,Old Airport Road,78,Monday,11:00 to 12:00
16477,Old Airport Road,126,Monday,12:00 to 13:00
16478,Old Airport Road,129,Monday,13:00 to 14:00
16479,Old Airport Road,100,Monday,14:00 to 15:00
16480,Old Airport Road,111,Monday,15:00 to 16:00
16481,Old Airport Road,97,Monday,16:00 to 17:00
16482,Old Airport Road,139,Monday,17:00 to 18:00
16483,Old Airport Road,130,Monday,18:00 to 19:00
16484,Old Airport Road,153,Monday,19:00 to 20:00
16485,Old Airport Road,123,Monday,20:00 to 21:00
16486,Old Airport Road,121,Monday,21:00 to 22:00
16487,Old Airport Road,130,Monday,22:00 to 23:00
16488,Old Airport Road,119,Monday,23:00 to 00:00
16489,Old Airport Road,75,Tuesday,00:00 to 01:00
16490,Old Airport Road,79,Tuesday,01:00 to 02:00
16491,Old Airport Road,69,Tuesday,02:00 to 03:00
16492,Old Airport Road,53,Tuesday,03:00 to 04:00
16493,Old Airport Road,68,Tuesday,04:00 to 05:00
16494,Old Airport Road,128,Tuesday,05:00 to 06:00
16495,Old Airport Road,130,Tuesday,06:00 to 07:00
16496,Old Airport Road,109,Tuesday,07:00 to 08:00
16497,Old Airport Road,142,Tuesday,08:00 to 09:00
16498,Old Airport Road,151,Tuesday,09:00 to 10:00
16499,Old Airport Road,140,Tuesday,10:00 to 11:00
16500,Old Airport Road,123,Tuesday,11:00 to 12:00
16501,Old Airport Road,126,Tuesday,12:00 to 13:00
16502,Old Airport Road,105,Tuesday,13:00 to 14:00
16503,Old Airport Road,87,Tuesday,14:00 to 15:00
16504,Old Airport Road,99,Tuesday,15:00 to 16:00
16505,Old Airport Road,119,Tuesday,16:00 to 17:00
16506,Old Airport Road,138,Tuesday,17:00 to 18:00
16507,Old Airport Road,155,Tuesday,18:00 to 19:00
16508,Old Airport Road,111,Tuesday,19:00 to 20:00
16509,Old Airport Road,83,Tuesday,20:00 to 21:00
16510,Old Airport Road,127,Tuesday,21:00 to 22:00
16511,Old Airport Road,102,Tuesday,22:00 to 23:00
16512,Old Airport Road,104,Tuesday,23:00 to 00:00
16513,Old Airport Road,82,Wednesday,00:00 to 01:00
16514,Old Airport Road,82,Wednesday,01:00 to 02:00
16515,Old Airport Road,59,Wednesday,02:00 to 03:00
16516,Old Airport Road,70,Wednesday,03:00 to 04:00
16517,Old Airport Road,70,Wednesday,04:00 to 05:00
16518,Old Airport Road,75,Wednesday,05:00 to 06:00
16519,Old Airport Road,122,Wednesday,06:00 to 07:00
16520,Old Airport Road,78,Wednesday,07:00 to 08:00
16521,Old Airport Road,113,Wednesday,08:00 to 09:00
16522,Old Airport Road,120,Wednesday,09:00 to 10:00
16523,Old Airport Road,159,Wednesday,10:00 to 11:00
16524,Old Airport Road,105,Wednesday,11:00 to 12:00
16525,Old Airport Road,118,Wednesday,12:00 to 13:00
16526,Old Airport Road,85,Wednesday,13:00 to 14:00
16527,Old Airport Road,100,Wednesday,14:00 to 15:00
16528,Old Airport Road,90,Wednesday,15:00 to 16:00
16529,Old Airport Road,119,Wednesday,16:00 to 17:00
16530,Old Airport Road,152,Wednesday,17:00 to 18:00
16531,Old Airport Road,141,Wednesday,18:00 to 19:00
16532,Old Airport Road,146,Wednesday,19:00 to 20:00
16533,Old Airport Road,74,Wednesday,20:00 to 21:00
16534,Old Airport Road,92,Wednesday,21:00 to 22:00
16535,Old Airport Road,119,Wednesday,22:00 to 23:00
16536,Old Airport Road,123,Wednesday,23:00 to 00:00
16537,Old Airport Road,51,Thursday,00:00 to 01:00
16538,Old Airport Road,64,Thursday,01:00 to 02:00
16539,Old Airport Road,75,Thursday,02:00 to 03:00
16540,Old Airport Road,75,Thursday,03:00 to 04:00
16541,Old Airport Road,72,Thursday,04:00 to 05:00
16542,Old Airport Road,82,Thursday,05:00 to 06:00
16543,Old Airport Road,88,Thursday,06:00 to 07:00
16544,Old Airport Road,80,Thursday,07:00 to 08:00
16545,Old Airport Road,125,Thursday,08:00 to 09:00
16546,Old Airport Road,144,Thursday,09:00 to 10:00
16547,Old Airport Road,139,Thursday,10:00 to 11:00
16548,Old Airport Road,127,Thursday,11:00 to 12:00
16549,Old Airport Road,118,Thursday,12:00 to 13:00
16550,Old Airport Road,89,Thursday,13:00 to 14:00
16551,Old Airport Road,78,Thursday,14:00 to 15:00
16552,Old Airport Road,79,Thursday,15:00 to 16:00
16553,Old Airport Road,87,Thursday,16:00 to 17:00
16554,Old Airport Road,128,Thursday,17:00 to 18:00
16555,Old Airport Road,155,Thursday,18:00 to 19:00
16556,Old Airport Road,136,Thursday,19:00 to 20:00
16557,Old Airport Road,130,Thursday,20:00 to 21:00
16558,Old Airport Road,126,Thursday,21:00 to 22:00
16559,Old Airport Road,123,Thursday,22:00 to 23:00
16560,Old Airport Road,91,Thursday,23:00 to 00:00
16561,Old Airport Road,79,Friday,00:00 to 01:00
16562,Old Airport Road,70,Friday,01:00 to 02:00
16563,Old Airport Road,79,Friday,02:00 to 03:00
16564,Old Airport Road,79,Friday,03:00 to 04:00
16565,Old Airport Road,89,Friday,04:00 to 05:00
16566,Old Airport Road,92,Friday,05:00 to 06:00
16567,Old Airport Road,86,Friday,06:00 to 07:00
16568,Old Airport Road,79,Friday,07:00 to 08:00
16569,Old Airport Road,123,Friday,08:00 to 09:00
16570,Old Airport Road,159,Friday,09:00 to 10:00
16571,Old Airport Road,117,Friday,10:00 to 11:00
16572,Old Airport Road,118,Friday,11:00 to 12:00
16573,Old Airport Road,76,Friday,12:00 to 13:00
16574,Old Airport Road,85,Friday,13:00 to 14:00
16575,Old Airport Road,102,Friday,14:00 to 15:00
16576,Old Airport Road,79,Friday,15:00 to 16:00
16577,Old Airport Road,126,Friday,16:00 to 17:00
16578,Old Airport Road,141,Friday,17:00 to 18:00
16579,Old Airport Road,136,Friday,18:00 to 19:00
16580,Old Airport Road,153,Friday,19:00 to 20:00
16581,Old Airport Road,100,Friday,20:00 to 21:00
16582,Old Airport Road,114,Friday,21:00 to 22:00
16583,Old Airport Road,121,Friday,22:00 to 23:00
16584,Old Airport Road,90,Friday,23:00 to 00:00
16585,Old Airport Road,98,Saturday,00:00 to 01:00
16586,Old Airport Road,111,Saturday,01:00 to 02:00
16587,Old Airport Road,126,Saturday,02:00 to 03:00
16588,Old Airport Road,89,Saturday,03:00 to 04:00
16589,Old Airport Road,79,Saturday,04:00 to 05:00
16590,Old Airport Road,62,Saturday,05:00 to 06:00
16591,Old Airport Road,106,Saturday,06:00 to 07:00
16592,Old Airport Road,102,Saturday,07:00 to 08:00
16593,Old Airport Road,91,Saturday,08:00 to 09:00
16594,Old Airport Road,72,Saturday,09:00 to 10:00
16595,Old Airport Road,114,Saturday,10:00 to 11:00
16596,Old Airport Road,122,Saturday,11:00 to 12:00
16597,Old Airport Road,116,Saturday,12:00 to 13:00
16598,Old Airport Road,89,Saturday,13:00 to 14:00
16599,Old Airport Road,92,Saturday,14:00 to 15:00
16600,Old Airport Road,91,Saturday,15:00 to 16:00
16601,Old Airport Road,80,Saturday,16:00 to 17:00
16602,Old Airport Road,86,Saturday,17:00 to 18:00
16603,Old Airport Road,98,Saturday,18:00 to 19:00
16604,Old Airport Road,60,Saturday,19:00 to 20:00
16605,Old Airport Road,76,Saturday,20:00 to 21:00
16606,Old Airport Road,72,Saturday,21:00 to 22:00
16607,Old Airport Road,148,Saturday,22:00 to 23:00
16608,Old Airport Road,145,Saturday,23:00 to 00:00
16609,Old Airport Road,105,Sunday,00:00 to 01:00
16610,Old Airport Road,141,Sunday,01:00 to 02:00
16611,Old Airport Road,104,Sunday,02:00 to 03:00
16612,Old Airport Road,95,Sunday,03:00 to 04:00
16613,Old Airport Road,71,Sunday,04:00 to 05:00
16614,Old Airport Road,85,Sunday,05:00 to 06:00
16615,Old Airport Road,87,Sunday,06:00 to 07:00
16616,Old Airport Road,101,Sunday,07:00 to 08:00
16617,Old Airport Road,76,Sunday,08:00 to 09:00
16618,Old Airport Road,92,Sunday,09:00 to 10:00
16619,Old Airport Road,113,Sunday,10:00 to 11:00
16620,Old Airport Road,110,Sunday,11:00 to 12:00
16621,Old Airport Road,85,Sunday,12:00 to 13:00
16622,Old Airport Road,97,Sunday,13:00 to 14:00
16623,Old Airport Road,87,Sunday,14:00 to 15:00
16624,Old Airport Road,93,Sunday,15:00 to 16:00
16625,Old Airport Road,126,Sunday,16:00 to 17:00
16626,Old Airport Road,119,Sunday,17:00 to 18:00
16627,Old Airport Road,122,Sunday,18:00 to 19:00
16628,Old Airport Road,109,Sunday,19:00 to 20:00
16629,Old Airport Road,72,Sunday,20:00 to 21:00
16630,Old Airport Road,78,Sunday,21:00 to 22:00
16631,Old Airport Road,100,Sunday,22:00 to 23:00
16632,Old Airport Road,118,Sunday,23:00 to 00:00
16633,Outer Ring Road (ORR),84,Monday,00:00 to 01:00
16634,Outer Ring Road (ORR),69,Monday,01:00 to 02:00
16635,Outer Ring Road (ORR),56,Monday,02:00 to 03:00
16636,Outer Ring Road (ORR),78,Monday,03:00 to 04:00
16637,Outer Ring Road (ORR),89,Monday,04:00 to 05:00
16638,Outer Ring Road (ORR),117,Monday,05:00 to 06:00
16639,Outer Ring Road (ORR),74,Monday,06:00 to 07:00
16640,Outer Ring Road (ORR),94,Monday,07:00 to 08:00
16641,Outer Ring Road (ORR),140,Monday,08:00 to 09:00
16642,Outer Ring Road (ORR),127,Monday,09:00 to 10:00
16643,Outer Ring Road (ORR),108,Monday,10:00 to 11:00
16644,Outer Ring Road (ORR),120,Monday,11:00 to 12:00
16645,Outer Ring Road (ORR),77,Monday,12:00 to 13:00
16646,Outer Ring Road (ORR),108,Monday,13:00 to 14:00
16647,Outer Ring Road (ORR),123,Monday,14:00 to 15:00
16648,Outer Ring Road (ORR),121,Monday,15:00 to 16:00
16649,Outer Ring Road (ORR),97,Monday,16:00 to 17:00
16650,Outer Ring Road (ORR),116,Monday,17:00 to 18:00
16651,Outer Ring Road (ORR),155,Monday,18:00 to 19:00
16652,Outer Ring Road (ORR),118,Monday,19:00 to 20:00
16653,Outer Ring Road (ORR),123,Monday,20:00 to 21:00
16654,Outer Ring Road (ORR),101,Monday,21:00 to 22:00
16655,Outer Ring Road (ORR),94,Monday,22:00 to 23:00
16656,Outer Ring Road (ORR),97,Monday,23:00 to 00:00
16657,Outer Ring Road (ORR),71,Tuesday,00:00 to 01:00
16658,Outer Ring Road (ORR),52,Tuesday,01:00 to 02:00
16659,Outer Ring Road (ORR),64,Tuesday,02:00 to 03:00
16660,Outer Ring Road (ORR),77,Tuesday,03:00 to 04:00
16661,Outer Ring Road (ORR),66,Tuesday,04:00 to 05:00
16662,Outer Ring Road (ORR),92,Tuesday,05:00 to 06:00
16663,Outer Ring Road (ORR),96,Tuesday,06:00 to 07:00
16664,Outer Ring Road (ORR),106,Tuesday,07:00 to 08:00
16665,Outer Ring Road (ORR),109,Tuesday,08:00 to 09:00
16666,Outer Ring Road (ORR),137,Tuesday,09:00 to 10:00
16667,Outer Ring Road (ORR),147,Tuesday,10:00 to 11:00
16668,Outer Ring Road (ORR),79,Tuesday,11:00 to 12:00
16669,Outer Ring Road (ORR),121,Tuesday,12:00 to 13:00
16670,Outer Ring Road (ORR),125,Tuesday,13:00 to 14:00
16671,Outer Ring Road (ORR),88,Tuesday,14:00 to 15:00
16672,Outer Ring Road (ORR),80,Tuesday,15:00 to 16:00
16673,Outer Ring Road (ORR),77,Tuesday,16:00 to 17:00
16674,Outer Ring Road (ORR),132,Tuesday,17:00 to 18:00
16675,Outer Ring Road (ORR),112,Tuesday,18:00 to 19:00
16676,Outer Ring Road (ORR),151,Tuesday,19:00 to 20:00
16677,Outer Ring Road (ORR),112,Tuesday,20:00 to 21:00
16678,Outer Ring Road (ORR),116,Tuesday,21:00 to 22:00
16679,Outer Ring Road (ORR),89,Tuesday,22:00 to 23:00
16680,Outer Ring Road (ORR),109,Tuesday,23:00 to 00:00
16681,Outer Ring Road (ORR),53,Wednesday,00:00 to 01:00
16682,Outer Ring Road (ORR),50,Wednesday,01:00 to 02:00
16683,Outer Ring Road (ORR),82,Wednesday,02:00 to 03:00
16684,Outer Ring Road (ORR),51,Wednesday,03:00 to 04:00
16685,Outer Ring Road (ORR),86,Wednesday,04:00 to 05:00
16686,Outer Ring Road (ORR),74,Wednesday,05:00 to 06:00
16687,Outer Ring Road (ORR),93,Wednesday,06:00 to 07:00
16688,Outer Ring Road (ORR),126,Wednesday,07:00 to 08:00
16689,Outer Ring Road (ORR),133,Wednesday,08:00 to 09:00
16690,Outer Ring Road (ORR),142,Wednesday,09:00 to 10:00
16691,Outer Ring Road (ORR),117,Wednesday,10:00 to 11:00
16692,Outer Ring Road (ORR),116,Wednesday,11:00 to 12:00
16693,Outer Ring Road (ORR),85,Wednesday,12:00 to 13:00
16694,Outer Ring Road (ORR),122,Wednesday,13:00 to 14:00
16695,Outer Ring Road (ORR),124,Wednesday,14:00 to 15:00
16696,Outer Ring Road (ORR),71,Wednesday,15:00 to 16:00
16697,Outer Ring Road (ORR),101,Wednesday,16:00 to 17:00
16698,Outer Ring Road (ORR),134,Wednesday,17:00 to 18:00
16699,Outer Ring Road (ORR),157,Wednesday,18:00 to 19:00
16700,Outer Ring Road (ORR),130,Wednesday,19:00 to 20:00
16701,Outer Ring Road (ORR),93,Wednesday,20:00 to 21:00
16702,Outer Ring Road (ORR),84,Wednesday,21:00 to 22:00
16703,Outer Ring Road (ORR),114,Wednesday,22:00 to 23:00
16704,Outer Ring Road (ORR),78,Wednesday,23:00 to 00:00
16705,Outer Ring Road (ORR),57,Thursday,00:00 to 01:00
16706,Outer Ring Road (ORR),64,Thursday,01:00 to 02:00
16707,Outer Ring Road (ORR),90,Thursday,02:00 to 03:00
16708,Outer Ring Road (ORR),89,Thursday,03:00 to 04:00
16709,Outer Ring Road (ORR),76,Thursday,04:00 to 05:00
16710,Outer Ring Road (ORR),123,Thursday,05:00 to 06:00
16711,Outer Ring Road (ORR),72,Thursday,06:00 to 07:00
16712,Outer Ring Road (ORR),100,Thursday,07:00 to 08:00
16713,Outer Ring Road (ORR),159,Thursday,08:00 to 09:00
16714,Outer Ring Road (ORR),110,Thursday,09:00 to 10:00
16715,Outer Ring Road (ORR),150,Thursday,10:00 to 11:00
16716,Outer Ring Road (ORR),102,Thursday,11:00 to 12:00
16717,Outer Ring Road (ORR),85,Thursday,12:00 to 13:00
16718,Outer Ring Road (ORR),110,Thursday,13:00 to 14:00
16719,Outer Ring Road (ORR),114,Thursday,14:00 to 15:00
16720,Outer Ring Road (ORR),128,Thursday,15:00 to 16:00
16721,Outer Ring Road (ORR),115,Thursday,16:00 to 17:00
16722,Outer Ring Road (ORR),130,Thursday,17:00 to 18:00
16723,Outer Ring Road (ORR),149,Thursday,18:00 to 19:00
16724,Outer Ring Road (ORR),156,Thursday,19:00 to 20:00
16725,Outer Ring Road (ORR),104,Thursday,20:00 to 21:00
16726,Outer Ring Road (ORR),129,Thursday,21:00 to 22:00
16727,Outer Ring Road (ORR),94,Thursday,22:00 to 23:00
16728,Outer Ring Road (ORR),129,Thursday,23:00 to 00:00
16729,Outer Ring Road (ORR),66,Friday,00:00 to 01:00
16730,Outer Ring Road (ORR),72,Friday,01:00 to 02:00
16731,Outer Ring Road (ORR),89,Friday,02:00 to 03:00
16732,Outer Ring Road (ORR),64,Friday,03:00 to 04:00
16733,Outer Ring Road (ORR),75,Friday,04:00 to 05:00
16734,Outer Ring Road (ORR),99,Friday,05:00 to 06:00
16735,Outer Ring Road (ORR),98,Friday,06:00 to 07:00
16736,Outer Ring Road (ORR),114,Friday,07:00 to 08:00
16737,Outer Ring Road (ORR),120,Friday,08:00 to 09:00
16738,Outer Ring Road (ORR),153,Friday,09:00 to 10:00
16739,Outer Ring Road (ORR),117,Friday,10:00 to 11:00
16740,Outer Ring Road (ORR),129,Friday,11:00 to 12:00
16741,Outer Ring Road (ORR),71,Friday,12:00 to 13:00
16742,Outer Ring Road (ORR),130,Friday,13:00 to 14:00
16743,Outer Ring Road (ORR),114,Friday,14:00 to 15:00
16744,Outer Ring Road (ORR),80,Friday,15:00 to 16:00
16745,Outer Ring Road (ORR),113,Friday,16:00 to 17:00
16746,Outer Ring Road (ORR),110,Friday,17:00 to 18:00
16747,Outer Ring Road (ORR),153,Friday,18:00 to 19:00
16748,Outer Ring Road (ORR),163,Friday,19:00 to 20:00
16749,Outer Ring Road (ORR),126,Friday,20:00 to 21:00
16750,Outer Ring Road (ORR),107,Friday,21:00 to 22:00
16751,Outer Ring Road (ORR),72,Friday,22:00 to 23:00
16752,Outer Ring Road (ORR),106,Friday,23:00 to 00:00
16753,Outer Ring Road (ORR),121,Saturday,00:00 to 01:00
16754,Outer Ring Road (ORR),125,Saturday,01:00 to 02:00
16755,Outer Ring Road (ORR),103,Saturday,02:00 to 03:00
16756,Outer Ring Road (ORR),70,Saturday,03:00 to 04:00
16757,Outer Ring Road (ORR),71,Saturday,04:00 to 05:00
16758,Outer Ring Road (ORR),75,Saturday,05:00 to 06:00
16759,Outer Ring Road (ORR),62,Saturday,06:00 to 07:00
16760,Outer Ring Road (ORR),90,Saturday,07:00 to 08:00
16761,Outer Ring Road (ORR),93,Saturday,08:00 to 09:00
16762,Outer Ring Road (ORR),72,Saturday,09:00 to 10:00
16763,Outer Ring Road (ORR),81,Saturday,10:00 to 11:00
16764,Outer Ring Road (ORR),88,Saturday,11:00 to 12:00
16765,Outer Ring Road (ORR),104,Saturday,12:00 to 13:00
16766,Outer Ring Road (ORR),95,Saturday,13:00 to 14:00
16767,Outer Ring Road (ORR),118,Saturday,14:00 to 15:00
16768,Outer Ring Road (ORR),113,Saturday,15:00 to 16:00
16769,Outer Ring Road (ORR),97,Saturday,16:00 to 17:00
16770,Outer Ring Road (ORR),116,Saturday,17:00 to 18:00
16771,Outer Ring Road (ORR),109,Saturday,18:00 to 19:00
16772,Outer Ring Road (ORR),102,Saturday,19:00 to 20:00
16773,Outer Ring Road (ORR),86,Saturday,20:00 to 21:00
16774,Outer Ring Road (ORR),60,Saturday,21:00 to 22:00
16775,Outer Ring Road (ORR),114,Saturday,22:00 to 23:00
16776,Outer Ring Road (ORR),111,Saturday,23:00 to 00:00
16777,Outer Ring Road (ORR),150,Sunday,00:00 to 01:00
16778,Outer Ring Road (ORR),132,Sunday,01:00 to 02:00
16779,Outer Ring Road (ORR),142,Sunday,02:00 to 03:00
16780,Outer Ring Road (ORR),72,Sunday,03:00 to 04:00
16781,Outer Ring Road (ORR),92,Sunday,04:00 to 05:00
16782,Outer Ring Road (ORR),80,Sunday,05:00 to 06:00
16783,Outer Ring Road (ORR),79,Sunday,06:00 to 07:00
16784,Outer Ring Road (ORR),73,Sunday,07:00 to 08:00
16785,Outer Ring Road (ORR),68,Sunday,08:00 to 09:00
16786,Outer Ring Road (ORR),66,Sunday,09:00 to 10:00
16787,Outer Ring Road (ORR),107,Sunday,10:00 to 11:00
16788,Outer Ring Road (ORR),90,Sunday,11:00 to 12:00
16789,Outer Ring Road (ORR),95,Sunday,12:00 to 13:00
16790,Outer Ring Road (ORR),129,Sunday,13:00 to 14:00
16791,Outer Ring Road (ORR),127,Sunday,14:00 to 15:00
16792,Outer Ring Road (ORR),95,Sunday,15:00 to 16:00
16793,Outer Ring Road (ORR),130,Sunday,16:00 to 17:00
16794,Outer Ring Road (ORR),81,Sunday,17:00 to 18:00
16795,Outer Ring Road (ORR),83,Sunday,18:00 to 19:00
16796,Outer Ring Road (ORR),82,Sunday,19:00 to 20:00
16797,Outer Ring Road (ORR),77,Sunday,20:00 to 21:00
16798,Outer Ring Road (ORR),108,Sunday,21:00 to 22:00
16799,Outer Ring Road (ORR),133,Sunday,22:00 to 23:00
16800,Outer Ring Road (ORR),94,Sunday,23:00 to 00:00
16801,Peenya Industrial Area,74,Monday,00:00 to 01:00
16802,Peenya Industrial Area,56,Monday,01:00 to 02:00
16803,Peenya Industrial Area,68,Monday,02:00 to 03:00
16804,Peenya Industrial Area,66,Monday,03:00 to 04:00
16805,Peenya Industrial Area,78,Monday,04:00 to 05:00
16806,Peenya Industrial Area,129,Monday,05:00 to 06:00
16807,Peenya Industrial Area,122,Monday,06:00 to 07:00
16808,Peenya Industrial Area,96,Monday,07:00 to 08:00
16809,Peenya Industrial Area,150,Monday,08:00 to 09:00
16810,Peenya Industrial Area,112,Monday,09:00 to 10:00
16811,Peenya Industrial Area,140,Monday,10:00 to 11:00
16812,Peenya Industrial Area,116,Monday,11:00 to 12:00
16813,Peenya Industrial Area,95,Monday,12:00 to 13:00
16814,Peenya Industrial Area,115,Monday,13:00 to 14:00
16815,Peenya Industrial Area,128,Monday,14:00 to 15:00
16816,Peenya Industrial Area,94,Monday,15:00 to 16:00
16817,Peenya Industrial Area,75,Monday,16:00 to 17:00
16818,Peenya Industrial Area,154,Monday,17:00 to 18:00
16819,Peenya Industrial Area,144,Monday,18:00 to 19:00
16820,Peenya Industrial Area,159,Monday,19:00 to 20:00
16821,Peenya Industrial Area,97,Monday,20:00 to 21:00
16822,Peenya Industrial Area,85,Monday,21:00 to 22:00
16823,Peenya Industrial Area,88,Monday,22:00 to 23:00
16824,Peenya Industrial Area,116,Monday,23:00 to 00:00
16825,Peenya Industrial Area,70,Tuesday,00:00 to 01:00
16826,Peenya Industrial Area,85,Tuesday,01:00 to 02:00
16827,Peenya Industrial Area,68,Tuesday,02:00 to 03:00
16828,Peenya Industrial Area,87,Tuesday,03:00 to 04:00
16829,Peenya Industrial Area,61,Tuesday,04:00 to 05:00
16830,Peenya Industrial Area,74,Tuesday,05:00 to 06:00
16831,Peenya Industrial Area,107,Tuesday,06:00 to 07:00
16832,Peenya Industrial Area,100,Tuesday,07:00 to 08:00
16833,Peenya Industrial Area,107,Tuesday,08:00 to 09:00
16834,Peenya Industrial Area,134,Tuesday,09:00 to 10:00
16835,Peenya Industrial Area,136,Tuesday,10:00 to 11:00
16836,Peenya Industrial Area,114,Tuesday,11:00 to 12:00
16837,Peenya Industrial Area,122,Tuesday,12:00 to 13:00
